name,cntry,trstprl,trstlgl,stfeco,Entity,CPI,PPS
ESS11e03,AT,5,6,7,Austria,67.0,-0.233
ESS11e03,AT,5,5,4,Austria,67.0,-0.233
ESS11e03,AT,4,8,6,Austria,67.0,-0.233
ESS11e03,AT,3,5,8,Austria,67.0,-0.233
ESS11e03,AT,8,9,8,Austria,67.0,-0.233
ESS11e03,AT,9,9,7,Austria,67.0,-0.233
ESS11e03,AT,8,9,5,Austria,67.0,-0.233
ESS11e03,AT,8,8,1,Austria,67.0,-0.233
ESS11e03,AT,6,6,9,Austria,67.0,-0.233
ESS11e03,AT,8,8,4,Austria,67.0,-0.233
ESS11e03,AT,4,6,6,Austria,67.0,-0.233
ESS11e03,AT,8,8,7,Austria,67.0,-0.233
ESS11e03,AT,6,9,8,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,8,5,Austria,67.0,-0.233
ESS11e03,AT,2,4,5,Austria,67.0,-0.233
ESS11e03,AT,1,3,1,Austria,67.0,-0.233
ESS11e03,AT,8,9,8,Austria,67.0,-0.233
ESS11e03,AT,6,7,7,Austria,67.0,-0.233
ESS11e03,AT,3,3,7,Austria,67.0,-0.233
ESS11e03,AT,4,5,2,Austria,67.0,-0.233
ESS11e03,AT,5,9,6,Austria,67.0,-0.233
ESS11e03,AT,7,9,88,Austria,67.0,-0.233
ESS11e03,AT,9,9,10,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,8,8,8,Austria,67.0,-0.233
ESS11e03,AT,0,3,8,Austria,67.0,-0.233
ESS11e03,AT,5,6,6,Austria,67.0,-0.233
ESS11e03,AT,2,3,0,Austria,67.0,-0.233
ESS11e03,AT,7,8,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,7,Austria,67.0,-0.233
ESS11e03,AT,8,7,6,Austria,67.0,-0.233
ESS11e03,AT,4,8,6,Austria,67.0,-0.233
ESS11e03,AT,9,9,5,Austria,67.0,-0.233
ESS11e03,AT,5,5,7,Austria,67.0,-0.233
ESS11e03,AT,0,3,0,Austria,67.0,-0.233
ESS11e03,AT,0,5,3,Austria,67.0,-0.233
ESS11e03,AT,8,7,5,Austria,67.0,-0.233
ESS11e03,AT,5,5,5,Austria,67.0,-0.233
ESS11e03,AT,4,8,5,Austria,67.0,-0.233
ESS11e03,AT,4,6,4,Austria,67.0,-0.233
ESS11e03,AT,5,6,6,Austria,67.0,-0.233
ESS11e03,AT,10,8,7,Austria,67.0,-0.233
ESS11e03,AT,5,8,8,Austria,67.0,-0.233
ESS11e03,AT,7,10,9,Austria,67.0,-0.233
ESS11e03,AT,7,8,4,Austria,67.0,-0.233
ESS11e03,AT,6,9,9,Austria,67.0,-0.233
ESS11e03,AT,6,6,8,Austria,67.0,-0.233
ESS11e03,AT,7,8,8,Austria,67.0,-0.233
ESS11e03,AT,2,9,5,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,4,7,5,Austria,67.0,-0.233
ESS11e03,AT,4,7,7,Austria,67.0,-0.233
ESS11e03,AT,3,9,4,Austria,67.0,-0.233
ESS11e03,AT,3,5,6,Austria,67.0,-0.233
ESS11e03,AT,0,0,0,Austria,67.0,-0.233
ESS11e03,AT,5,8,7,Austria,67.0,-0.233
ESS11e03,AT,10,10,8,Austria,67.0,-0.233
ESS11e03,AT,5,8,88,Austria,67.0,-0.233
ESS11e03,AT,6,8,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,88,Austria,67.0,-0.233
ESS11e03,AT,10,10,9,Austria,67.0,-0.233
ESS11e03,AT,5,5,3,Austria,67.0,-0.233
ESS11e03,AT,5,10,9,Austria,67.0,-0.233
ESS11e03,AT,5,7,3,Austria,67.0,-0.233
ESS11e03,AT,2,5,8,Austria,67.0,-0.233
ESS11e03,AT,2,5,2,Austria,67.0,-0.233
ESS11e03,AT,5,7,8,Austria,67.0,-0.233
ESS11e03,AT,1,1,3,Austria,67.0,-0.233
ESS11e03,AT,3,4,6,Austria,67.0,-0.233
ESS11e03,AT,6,9,8,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,5,5,3,Austria,67.0,-0.233
ESS11e03,AT,3,1,3,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,7,10,4,Austria,67.0,-0.233
ESS11e03,AT,6,10,9,Austria,67.0,-0.233
ESS11e03,AT,1,5,5,Austria,67.0,-0.233
ESS11e03,AT,8,8,6,Austria,67.0,-0.233
ESS11e03,AT,5,4,4,Austria,67.0,-0.233
ESS11e03,AT,5,7,2,Austria,67.0,-0.233
ESS11e03,AT,88,8,5,Austria,67.0,-0.233
ESS11e03,AT,4,4,4,Austria,67.0,-0.233
ESS11e03,AT,5,7,5,Austria,67.0,-0.233
ESS11e03,AT,6,9,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,5,Austria,67.0,-0.233
ESS11e03,AT,6,7,2,Austria,67.0,-0.233
ESS11e03,AT,6,8,8,Austria,67.0,-0.233
ESS11e03,AT,0,5,6,Austria,67.0,-0.233
ESS11e03,AT,6,6,6,Austria,67.0,-0.233
ESS11e03,AT,10,10,7,Austria,67.0,-0.233
ESS11e03,AT,4,6,3,Austria,67.0,-0.233
ESS11e03,AT,6,9,7,Austria,67.0,-0.233
ESS11e03,AT,7,7,8,Austria,67.0,-0.233
ESS11e03,AT,3,5,3,Austria,67.0,-0.233
ESS11e03,AT,7,9,7,Austria,67.0,-0.233
ESS11e03,AT,7,5,4,Austria,67.0,-0.233
ESS11e03,AT,2,5,0,Austria,67.0,-0.233
ESS11e03,AT,9,9,6,Austria,67.0,-0.233
ESS11e03,AT,5,5,5,Austria,67.0,-0.233
ESS11e03,AT,2,4,7,Austria,67.0,-0.233
ESS11e03,AT,3,7,5,Austria,67.0,-0.233
ESS11e03,AT,1,4,4,Austria,67.0,-0.233
ESS11e03,AT,6,9,5,Austria,67.0,-0.233
ESS11e03,AT,8,8,3,Austria,67.0,-0.233
ESS11e03,AT,8,4,5,Austria,67.0,-0.233
ESS11e03,AT,5,8,7,Austria,67.0,-0.233
ESS11e03,AT,7,9,7,Austria,67.0,-0.233
ESS11e03,AT,4,6,6,Austria,67.0,-0.233
ESS11e03,AT,4,7,6,Austria,67.0,-0.233
ESS11e03,AT,6,8,8,Austria,67.0,-0.233
ESS11e03,AT,7,8,10,Austria,67.0,-0.233
ESS11e03,AT,2,2,6,Austria,67.0,-0.233
ESS11e03,AT,10,10,8,Austria,67.0,-0.233
ESS11e03,AT,7,8,8,Austria,67.0,-0.233
ESS11e03,AT,3,2,7,Austria,67.0,-0.233
ESS11e03,AT,7,9,7,Austria,67.0,-0.233
ESS11e03,AT,5,5,3,Austria,67.0,-0.233
ESS11e03,AT,6,10,9,Austria,67.0,-0.233
ESS11e03,AT,6,7,6,Austria,67.0,-0.233
ESS11e03,AT,8,9,8,Austria,67.0,-0.233
ESS11e03,AT,1,1,0,Austria,67.0,-0.233
ESS11e03,AT,3,9,3,Austria,67.0,-0.233
ESS11e03,AT,7,8,8,Austria,67.0,-0.233
ESS11e03,AT,5,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,8,3,Austria,67.0,-0.233
ESS11e03,AT,3,5,2,Austria,67.0,-0.233
ESS11e03,AT,3,3,3,Austria,67.0,-0.233
ESS11e03,AT,7,8,7,Austria,67.0,-0.233
ESS11e03,AT,10,10,7,Austria,67.0,-0.233
ESS11e03,AT,5,8,8,Austria,67.0,-0.233
ESS11e03,AT,2,3,4,Austria,67.0,-0.233
ESS11e03,AT,5,5,2,Austria,67.0,-0.233
ESS11e03,AT,9,9,0,Austria,67.0,-0.233
ESS11e03,AT,3,6,8,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,0,88,5,Austria,67.0,-0.233
ESS11e03,AT,5,5,9,Austria,67.0,-0.233
ESS11e03,AT,2,6,2,Austria,67.0,-0.233
ESS11e03,AT,3,3,1,Austria,67.0,-0.233
ESS11e03,AT,9,9,9,Austria,67.0,-0.233
ESS11e03,AT,3,5,3,Austria,67.0,-0.233
ESS11e03,AT,2,2,3,Austria,67.0,-0.233
ESS11e03,AT,7,8,9,Austria,67.0,-0.233
ESS11e03,AT,0,0,4,Austria,67.0,-0.233
ESS11e03,AT,0,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,7,7,Austria,67.0,-0.233
ESS11e03,AT,4,4,1,Austria,67.0,-0.233
ESS11e03,AT,3,3,4,Austria,67.0,-0.233
ESS11e03,AT,7,7,6,Austria,67.0,-0.233
ESS11e03,AT,7,7,9,Austria,67.0,-0.233
ESS11e03,AT,6,9,6,Austria,67.0,-0.233
ESS11e03,AT,8,9,2,Austria,67.0,-0.233
ESS11e03,AT,5,6,5,Austria,67.0,-0.233
ESS11e03,AT,5,2,4,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,2,2,3,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,5,88,Austria,67.0,-0.233
ESS11e03,AT,6,6,8,Austria,67.0,-0.233
ESS11e03,AT,8,10,9,Austria,67.0,-0.233
ESS11e03,AT,7,8,7,Austria,67.0,-0.233
ESS11e03,AT,7,8,2,Austria,67.0,-0.233
ESS11e03,AT,3,7,5,Austria,67.0,-0.233
ESS11e03,AT,6,2,5,Austria,67.0,-0.233
ESS11e03,AT,5,6,5,Austria,67.0,-0.233
ESS11e03,AT,6,6,5,Austria,67.0,-0.233
ESS11e03,AT,10,10,8,Austria,67.0,-0.233
ESS11e03,AT,10,10,8,Austria,67.0,-0.233
ESS11e03,AT,8,8,3,Austria,67.0,-0.233
ESS11e03,AT,3,5,3,Austria,67.0,-0.233
ESS11e03,AT,9,8,8,Austria,67.0,-0.233
ESS11e03,AT,3,4,1,Austria,67.0,-0.233
ESS11e03,AT,7,8,5,Austria,67.0,-0.233
ESS11e03,AT,2,2,2,Austria,67.0,-0.233
ESS11e03,AT,6,8,9,Austria,67.0,-0.233
ESS11e03,AT,10,10,9,Austria,67.0,-0.233
ESS11e03,AT,5,6,7,Austria,67.0,-0.233
ESS11e03,AT,9,7,9,Austria,67.0,-0.233
ESS11e03,AT,10,10,8,Austria,67.0,-0.233
ESS11e03,AT,2,4,2,Austria,67.0,-0.233
ESS11e03,AT,2,0,2,Austria,67.0,-0.233
ESS11e03,AT,5,9,6,Austria,67.0,-0.233
ESS11e03,AT,0,0,0,Austria,67.0,-0.233
ESS11e03,AT,2,2,2,Austria,67.0,-0.233
ESS11e03,AT,3,8,5,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,7,7,5,Austria,67.0,-0.233
ESS11e03,AT,4,5,3,Austria,67.0,-0.233
ESS11e03,AT,8,9,6,Austria,67.0,-0.233
ESS11e03,AT,5,7,8,Austria,67.0,-0.233
ESS11e03,AT,4,5,4,Austria,67.0,-0.233
ESS11e03,AT,5,4,6,Austria,67.0,-0.233
ESS11e03,AT,4,8,6,Austria,67.0,-0.233
ESS11e03,AT,7,7,3,Austria,67.0,-0.233
ESS11e03,AT,9,9,9,Austria,67.0,-0.233
ESS11e03,AT,8,7,7,Austria,67.0,-0.233
ESS11e03,AT,4,6,7,Austria,67.0,-0.233
ESS11e03,AT,6,8,5,Austria,67.0,-0.233
ESS11e03,AT,2,7,8,Austria,67.0,-0.233
ESS11e03,AT,3,4,3,Austria,67.0,-0.233
ESS11e03,AT,7,7,5,Austria,67.0,-0.233
ESS11e03,AT,4,2,4,Austria,67.0,-0.233
ESS11e03,AT,3,3,8,Austria,67.0,-0.233
ESS11e03,AT,1,3,6,Austria,67.0,-0.233
ESS11e03,AT,7,8,7,Austria,67.0,-0.233
ESS11e03,AT,9,10,7,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,8,9,3,Austria,67.0,-0.233
ESS11e03,AT,4,7,7,Austria,67.0,-0.233
ESS11e03,AT,3,7,5,Austria,67.0,-0.233
ESS11e03,AT,4,8,4,Austria,67.0,-0.233
ESS11e03,AT,6,8,5,Austria,67.0,-0.233
ESS11e03,AT,7,7,7,Austria,67.0,-0.233
ESS11e03,AT,7,7,8,Austria,67.0,-0.233
ESS11e03,AT,3,7,3,Austria,67.0,-0.233
ESS11e03,AT,10,10,8,Austria,67.0,-0.233
ESS11e03,AT,4,7,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,4,Austria,67.0,-0.233
ESS11e03,AT,5,7,3,Austria,67.0,-0.233
ESS11e03,AT,7,8,8,Austria,67.0,-0.233
ESS11e03,AT,3,7,3,Austria,67.0,-0.233
ESS11e03,AT,4,2,4,Austria,67.0,-0.233
ESS11e03,AT,10,10,6,Austria,67.0,-0.233
ESS11e03,AT,5,6,7,Austria,67.0,-0.233
ESS11e03,AT,7,9,4,Austria,67.0,-0.233
ESS11e03,AT,8,8,6,Austria,67.0,-0.233
ESS11e03,AT,5,8,8,Austria,67.0,-0.233
ESS11e03,AT,7,8,6,Austria,67.0,-0.233
ESS11e03,AT,7,7,6,Austria,67.0,-0.233
ESS11e03,AT,4,5,4,Austria,67.0,-0.233
ESS11e03,AT,2,8,6,Austria,67.0,-0.233
ESS11e03,AT,4,5,3,Austria,67.0,-0.233
ESS11e03,AT,4,7,4,Austria,67.0,-0.233
ESS11e03,AT,0,0,0,Austria,67.0,-0.233
ESS11e03,AT,9,10,6,Austria,67.0,-0.233
ESS11e03,AT,7,9,6,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,0,3,4,Austria,67.0,-0.233
ESS11e03,AT,0,5,0,Austria,67.0,-0.233
ESS11e03,AT,5,10,8,Austria,67.0,-0.233
ESS11e03,AT,6,10,5,Austria,67.0,-0.233
ESS11e03,AT,88,7,88,Austria,67.0,-0.233
ESS11e03,AT,8,9,7,Austria,67.0,-0.233
ESS11e03,AT,0,9,7,Austria,67.0,-0.233
ESS11e03,AT,2,6,5,Austria,67.0,-0.233
ESS11e03,AT,5,6,3,Austria,67.0,-0.233
ESS11e03,AT,6,6,6,Austria,67.0,-0.233
ESS11e03,AT,4,7,7,Austria,67.0,-0.233
ESS11e03,AT,8,9,2,Austria,67.0,-0.233
ESS11e03,AT,1,5,1,Austria,67.0,-0.233
ESS11e03,AT,3,5,3,Austria,67.0,-0.233
ESS11e03,AT,9,9,7,Austria,67.0,-0.233
ESS11e03,AT,1,5,1,Austria,67.0,-0.233
ESS11e03,AT,2,5,2,Austria,67.0,-0.233
ESS11e03,AT,5,9,8,Austria,67.0,-0.233
ESS11e03,AT,8,8,9,Austria,67.0,-0.233
ESS11e03,AT,8,8,4,Austria,67.0,-0.233
ESS11e03,AT,7,4,4,Austria,67.0,-0.233
ESS11e03,AT,10,10,8,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,7,6,4,Austria,67.0,-0.233
ESS11e03,AT,10,10,6,Austria,67.0,-0.233
ESS11e03,AT,8,8,5,Austria,67.0,-0.233
ESS11e03,AT,8,5,6,Austria,67.0,-0.233
ESS11e03,AT,8,5,0,Austria,67.0,-0.233
ESS11e03,AT,8,8,6,Austria,67.0,-0.233
ESS11e03,AT,2,5,7,Austria,67.0,-0.233
ESS11e03,AT,8,6,7,Austria,67.0,-0.233
ESS11e03,AT,8,7,3,Austria,67.0,-0.233
ESS11e03,AT,4,7,6,Austria,67.0,-0.233
ESS11e03,AT,7,9,5,Austria,67.0,-0.233
ESS11e03,AT,8,7,7,Austria,67.0,-0.233
ESS11e03,AT,10,2,2,Austria,67.0,-0.233
ESS11e03,AT,4,3,4,Austria,67.0,-0.233
ESS11e03,AT,1,5,5,Austria,67.0,-0.233
ESS11e03,AT,3,5,4,Austria,67.0,-0.233
ESS11e03,AT,5,9,6,Austria,67.0,-0.233
ESS11e03,AT,5,8,6,Austria,67.0,-0.233
ESS11e03,AT,4,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,7,6,Austria,67.0,-0.233
ESS11e03,AT,6,4,7,Austria,67.0,-0.233
ESS11e03,AT,8,8,10,Austria,67.0,-0.233
ESS11e03,AT,0,6,8,Austria,67.0,-0.233
ESS11e03,AT,8,8,9,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,0,4,1,Austria,67.0,-0.233
ESS11e03,AT,7,7,6,Austria,67.0,-0.233
ESS11e03,AT,2,7,5,Austria,67.0,-0.233
ESS11e03,AT,9,10,9,Austria,67.0,-0.233
ESS11e03,AT,4,0,10,Austria,67.0,-0.233
ESS11e03,AT,5,6,9,Austria,67.0,-0.233
ESS11e03,AT,3,3,5,Austria,67.0,-0.233
ESS11e03,AT,2,5,5,Austria,67.0,-0.233
ESS11e03,AT,3,4,7,Austria,67.0,-0.233
ESS11e03,AT,3,4,3,Austria,67.0,-0.233
ESS11e03,AT,3,7,5,Austria,67.0,-0.233
ESS11e03,AT,8,9,7,Austria,67.0,-0.233
ESS11e03,AT,8,8,8,Austria,67.0,-0.233
ESS11e03,AT,5,5,7,Austria,67.0,-0.233
ESS11e03,AT,8,77,8,Austria,67.0,-0.233
ESS11e03,AT,8,8,5,Austria,67.0,-0.233
ESS11e03,AT,8,8,4,Austria,67.0,-0.233
ESS11e03,AT,4,8,5,Austria,67.0,-0.233
ESS11e03,AT,7,7,3,Austria,67.0,-0.233
ESS11e03,AT,4,2,3,Austria,67.0,-0.233
ESS11e03,AT,3,7,2,Austria,67.0,-0.233
ESS11e03,AT,2,7,6,Austria,67.0,-0.233
ESS11e03,AT,5,8,6,Austria,67.0,-0.233
ESS11e03,AT,0,6,0,Austria,67.0,-0.233
ESS11e03,AT,7,9,6,Austria,67.0,-0.233
ESS11e03,AT,7,7,9,Austria,67.0,-0.233
ESS11e03,AT,4,7,6,Austria,67.0,-0.233
ESS11e03,AT,4,5,2,Austria,67.0,-0.233
ESS11e03,AT,3,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,6,3,Austria,67.0,-0.233
ESS11e03,AT,3,5,3,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,3,8,8,Austria,67.0,-0.233
ESS11e03,AT,7,8,7,Austria,67.0,-0.233
ESS11e03,AT,88,88,88,Austria,67.0,-0.233
ESS11e03,AT,7,9,7,Austria,67.0,-0.233
ESS11e03,AT,7,8,6,Austria,67.0,-0.233
ESS11e03,AT,5,7,8,Austria,67.0,-0.233
ESS11e03,AT,6,8,8,Austria,67.0,-0.233
ESS11e03,AT,2,2,6,Austria,67.0,-0.233
ESS11e03,AT,5,6,4,Austria,67.0,-0.233
ESS11e03,AT,2,2,6,Austria,67.0,-0.233
ESS11e03,AT,7,9,6,Austria,67.0,-0.233
ESS11e03,AT,4,4,5,Austria,67.0,-0.233
ESS11e03,AT,0,2,3,Austria,67.0,-0.233
ESS11e03,AT,6,0,8,Austria,67.0,-0.233
ESS11e03,AT,6,6,6,Austria,67.0,-0.233
ESS11e03,AT,6,9,8,Austria,67.0,-0.233
ESS11e03,AT,6,8,2,Austria,67.0,-0.233
ESS11e03,AT,5,4,7,Austria,67.0,-0.233
ESS11e03,AT,7,8,8,Austria,67.0,-0.233
ESS11e03,AT,4,8,8,Austria,67.0,-0.233
ESS11e03,AT,5,4,3,Austria,67.0,-0.233
ESS11e03,AT,4,7,5,Austria,67.0,-0.233
ESS11e03,AT,2,0,2,Austria,67.0,-0.233
ESS11e03,AT,6,7,4,Austria,67.0,-0.233
ESS11e03,AT,1,1,1,Austria,67.0,-0.233
ESS11e03,AT,3,3,2,Austria,67.0,-0.233
ESS11e03,AT,0,5,5,Austria,67.0,-0.233
ESS11e03,AT,8,10,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,8,Austria,67.0,-0.233
ESS11e03,AT,5,7,5,Austria,67.0,-0.233
ESS11e03,AT,6,9,5,Austria,67.0,-0.233
ESS11e03,AT,3,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,9,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,5,5,3,Austria,67.0,-0.233
ESS11e03,AT,6,7,5,Austria,67.0,-0.233
ESS11e03,AT,6,8,8,Austria,67.0,-0.233
ESS11e03,AT,9,9,1,Austria,67.0,-0.233
ESS11e03,AT,3,10,5,Austria,67.0,-0.233
ESS11e03,AT,2,7,2,Austria,67.0,-0.233
ESS11e03,AT,7,9,5,Austria,67.0,-0.233
ESS11e03,AT,4,9,4,Austria,67.0,-0.233
ESS11e03,AT,7,7,2,Austria,67.0,-0.233
ESS11e03,AT,0,8,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,88,Austria,67.0,-0.233
ESS11e03,AT,7,7,6,Austria,67.0,-0.233
ESS11e03,AT,5,6,3,Austria,67.0,-0.233
ESS11e03,AT,8,10,8,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,10,10,4,Austria,67.0,-0.233
ESS11e03,AT,2,4,3,Austria,67.0,-0.233
ESS11e03,AT,6,9,4,Austria,67.0,-0.233
ESS11e03,AT,3,6,7,Austria,67.0,-0.233
ESS11e03,AT,88,88,88,Austria,67.0,-0.233
ESS11e03,AT,8,6,3,Austria,67.0,-0.233
ESS11e03,AT,1,4,5,Austria,67.0,-0.233
ESS11e03,AT,7,9,7,Austria,67.0,-0.233
ESS11e03,AT,6,6,1,Austria,67.0,-0.233
ESS11e03,AT,6,9,7,Austria,67.0,-0.233
ESS11e03,AT,4,6,4,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,7,10,7,Austria,67.0,-0.233
ESS11e03,AT,5,8,6,Austria,67.0,-0.233
ESS11e03,AT,2,6,8,Austria,67.0,-0.233
ESS11e03,AT,8,8,2,Austria,67.0,-0.233
ESS11e03,AT,6,7,8,Austria,67.0,-0.233
ESS11e03,AT,7,7,7,Austria,67.0,-0.233
ESS11e03,AT,6,6,5,Austria,67.0,-0.233
ESS11e03,AT,7,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,8,5,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,5,6,Austria,67.0,-0.233
ESS11e03,AT,7,8,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,7,6,Austria,67.0,-0.233
ESS11e03,AT,0,5,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,6,Austria,67.0,-0.233
ESS11e03,AT,5,7,5,Austria,67.0,-0.233
ESS11e03,AT,6,9,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,1,Austria,67.0,-0.233
ESS11e03,AT,1,1,2,Austria,67.0,-0.233
ESS11e03,AT,3,6,0,Austria,67.0,-0.233
ESS11e03,AT,8,9,3,Austria,67.0,-0.233
ESS11e03,AT,6,7,6,Austria,67.0,-0.233
ESS11e03,AT,5,8,6,Austria,67.0,-0.233
ESS11e03,AT,4,8,7,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,3,3,8,Austria,67.0,-0.233
ESS11e03,AT,4,3,2,Austria,67.0,-0.233
ESS11e03,AT,5,5,5,Austria,67.0,-0.233
ESS11e03,AT,5,7,8,Austria,67.0,-0.233
ESS11e03,AT,4,7,8,Austria,67.0,-0.233
ESS11e03,AT,8,9,5,Austria,67.0,-0.233
ESS11e03,AT,4,7,6,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,8,8,5,Austria,67.0,-0.233
ESS11e03,AT,6,7,7,Austria,67.0,-0.233
ESS11e03,AT,2,7,7,Austria,67.0,-0.233
ESS11e03,AT,7,10,7,Austria,67.0,-0.233
ESS11e03,AT,7,9,6,Austria,67.0,-0.233
ESS11e03,AT,9,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,5,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,4,5,3,Austria,67.0,-0.233
ESS11e03,AT,2,3,1,Austria,67.0,-0.233
ESS11e03,AT,7,9,5,Austria,67.0,-0.233
ESS11e03,AT,7,7,5,Austria,67.0,-0.233
ESS11e03,AT,7,5,4,Austria,67.0,-0.233
ESS11e03,AT,6,9,8,Austria,67.0,-0.233
ESS11e03,AT,0,3,5,Austria,67.0,-0.233
ESS11e03,AT,5,8,3,Austria,67.0,-0.233
ESS11e03,AT,4,2,0,Austria,67.0,-0.233
ESS11e03,AT,3,5,4,Austria,67.0,-0.233
ESS11e03,AT,8,8,6,Austria,67.0,-0.233
ESS11e03,AT,3,7,3,Austria,67.0,-0.233
ESS11e03,AT,5,7,5,Austria,67.0,-0.233
ESS11e03,AT,9,9,7,Austria,67.0,-0.233
ESS11e03,AT,7,10,9,Austria,67.0,-0.233
ESS11e03,AT,0,0,3,Austria,67.0,-0.233
ESS11e03,AT,6,7,8,Austria,67.0,-0.233
ESS11e03,AT,4,6,4,Austria,67.0,-0.233
ESS11e03,AT,6,9,8,Austria,67.0,-0.233
ESS11e03,AT,1,1,0,Austria,67.0,-0.233
ESS11e03,AT,9,10,4,Austria,67.0,-0.233
ESS11e03,AT,9,9,6,Austria,67.0,-0.233
ESS11e03,AT,6,7,5,Austria,67.0,-0.233
ESS11e03,AT,8,9,8,Austria,67.0,-0.233
ESS11e03,AT,4,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,4,7,9,Austria,67.0,-0.233
ESS11e03,AT,4,7,7,Austria,67.0,-0.233
ESS11e03,AT,3,5,2,Austria,67.0,-0.233
ESS11e03,AT,6,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,4,Austria,67.0,-0.233
ESS11e03,AT,1,5,3,Austria,67.0,-0.233
ESS11e03,AT,5,7,4,Austria,67.0,-0.233
ESS11e03,AT,3,8,1,Austria,67.0,-0.233
ESS11e03,AT,7,7,7,Austria,67.0,-0.233
ESS11e03,AT,7,8,4,Austria,67.0,-0.233
ESS11e03,AT,2,6,6,Austria,67.0,-0.233
ESS11e03,AT,4,5,9,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,8,Austria,67.0,-0.233
ESS11e03,AT,5,8,2,Austria,67.0,-0.233
ESS11e03,AT,4,6,4,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,7,Austria,67.0,-0.233
ESS11e03,AT,0,8,3,Austria,67.0,-0.233
ESS11e03,AT,3,4,7,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,2,3,3,Austria,67.0,-0.233
ESS11e03,AT,8,10,9,Austria,67.0,-0.233
ESS11e03,AT,10,9,6,Austria,67.0,-0.233
ESS11e03,AT,0,5,0,Austria,67.0,-0.233
ESS11e03,AT,6,5,7,Austria,67.0,-0.233
ESS11e03,AT,6,9,5,Austria,67.0,-0.233
